name,tr_gap,tr_global_acc,tr_round,tr_seen_acc,tr_void_acc
PAPER_ace_T50_seed11_d5_B3,0.2445125,0.1309,0,0.22469999999999998,0.08426249999999999
PAPER_ace_T50_seed11_d5_B3,0.26555,0.1891,1,0.244,0.09462499999999999
PAPER_ace_T50_seed11_d5_B3,0.3001875,0.2594,2,0.30635,0.12241250000000001
PAPER_ace_T50_seed11_d5_B3,0.28941249999999996,0.282,3,0.2973,0.1222375
PAPER_ace_T50_seed11_d5_B3,0.3234375,0.31,4,0.34500000000000003,0.16006250000000002
PAPER_ace_T50_seed11_d5_B3,0.307475,0.3503,5,0.3562,0.173075
PAPER_ace_T50_seed11_d5_B3,0.34708750000000005,0.383,6,0.3936,0.20103749999999998
PAPER_ace_T50_seed11_d5_B3,0.3557125,0.4165,7,0.40925,0.2228125
PAPER_ace_T50_seed11_d5_B3,0.24732499999999996,0.1057,8,0.13885,0.129975
PAPER_ace_T50_seed11_d5_B3,0.2645,0.1426,9,0.21434999999999998,0.15760000000000002
PAPER_ace_T50_seed11_d5_B3,0.2558875,0.2002,10,0.2366,0.1656625
PAPER_ace_T50_seed11_d5_B3,0.2529375,0.1825,11,0.28215,0.1662125
PAPER_ace_T50_seed11_d5_B3,0.22366250000000001,0.1919,12,0.26005,0.15923749999999998
PAPER_ace_T50_seed11_d5_B3,0.254225,0.2382,13,0.3361,0.193475
PAPER_ace_T50_seed11_d5_B3,0.24168749999999997,0.2025,14,0.3138,0.1827375
PAPER_ace_T50_seed11_d5_B3,0.24753750000000002,0.18,15,0.2969,0.1862125
PAPER_ace_T50_seed11_d5_B3,0.31818749999999996,0.3818,16,0.4101,0.2089125
PAPER_ace_T50_seed11_d5_B3,0.2818125,0.3625,17,0.38995,0.20626249999999996
PAPER_ace_T50_seed11_d5_B3,0.28759999999999997,0.3206,18,0.40120000000000006,0.22432499999999997
PAPER_ace_T50_seed11_d5_B3,0.3113125,0.3747,19,0.42040000000000005,0.22171249999999998
PAPER_ace_T50_seed11_d5_B3,0.3630875,0.1897,20,0.33094999999999997,0.2183875
PAPER_ace_T50_seed11_d5_B3,0.3746875,0.337,21,0.4095000000000001,0.2548125
PAPER_ace_T50_seed11_d5_B3,0.3106125,0.3985,22,0.4441,0.24353750000000002
PAPER_ace_T50_seed11_d5_B3,0.3231875,0.4246,23,0.4747,0.27351250000000005
PAPER_ace_T50_seed11_d5_B3,0.34607499999999997,0.355,24,0.35824999999999996,0.182125
PAPER_ace_T50_seed11_d5_B3,0.3442125,0.3941,25,0.43010000000000004,0.2624125
PAPER_ace_T50_seed11_d5_B3,0.35757500000000003,0.3158,26,0.40309999999999996,0.28185000000000004
PAPER_ace_T50_seed11_d5_B3,0.3837499999999999,0.3304,27,0.39435,0.265975
PAPER_ace_T50_seed11_d5_B3,0.4112125,0.337,28,0.39885000000000004,0.24766249999999998
PAPER_ace_T50_seed11_d5_B3,0.430075,0.3627,29,0.41345,0.277075
PAPER_ace_T50_seed11_d5_B3,0.4104875,0.2047,30,0.35300000000000004,0.2018125
PAPER_ace_T50_seed11_d5_B3,0.36063750000000006,0.2974,31,0.4053,0.2413625
PAPER_ace_T50_seed11_d5_B3,0.3666625,0.3761,32,0.48165,0.29096249999999996
PAPER_ace_T50_seed11_d5_B3,0.40854999999999997,0.3405,33,0.44115000000000004,0.27415
PAPER_ace_T50_seed11_d5_B3,0.41442499999999993,0.4362,34,0.46049999999999996,0.309875
PAPER_ace_T50_seed11_d5_B3,0.38289999999999996,0.3798,35,0.38975,0.246875
PAPER_ace_T50_seed11_d5_B3,0.38222500000000004,0.4422,36,0.4648,0.3223
PAPER_ace_T50_seed11_d5_B3,0.3857625,0.4197,37,0.45105000000000006,0.28861250000000005
PAPER_ace_T50_seed11_d5_B3,0.41587500000000005,0.4584,38,0.4852,0.32094999999999996
PAPER_ace_T50_seed11_d5_B3,0.36214999999999997,0.4122,39,0.4311999999999999,0.27795000000000003
PAPER_ace_T50_seed11_d5_B3,0.38481250000000006,0.4006,40,0.41965,0.2443375
PAPER_ace_T50_seed11_d5_B3,0.3535125,0.4188,41,0.44580000000000003,0.26211249999999997
PAPER_ace_T50_seed11_d5_B3,0.41906250000000006,0.4367,42,0.471,0.3170625
PAPER_ace_T50_seed11_d5_B3,0.4005875,0.4545,43,0.48600000000000004,0.31556249999999997
PAPER_ace_T50_seed11_d5_B3,0.3111125,0.377,44,0.3753500000000001,0.23966249999999997
PAPER_ace_T50_seed11_d5_B3,0.34216250000000004,0.4515,45,0.48405,0.3071125
PAPER_ace_T50_seed11_d5_B3,0.4091875,0.4876,46,0.499,0.3248125
PAPER_ace_T50_seed11_d5_B3,0.39165,0.5,47,0.49685000000000007,0.31734999999999997
PAPER_ace_T50_seed11_d5_B3,0.4132124999999999,0.5061,48,0.50535,0.34791249999999996
PAPER_ace_T50_seed11_d5_B3,0.40901250000000006,0.4819,49,0.50485,0.3536625
PAPER_ace_T50_seed12_d5_B3,0.2731375,0.1432,0,0.21190000000000003,0.08708750000000001
PAPER_ace_T50_seed12_d5_B3,0.3125625,0.1695,1,0.2287,0.10376250000000001
PAPER_ace_T50_seed12_d5_B3,0.323975,0.2075,2,0.26890000000000003,0.144525
PAPER_ace_T50_seed12_d5_B3,0.35148750000000006,0.2578,3,0.2904,0.16671249999999999
PAPER_ace_T50_seed12_d5_B3,0.37736250000000005,0.2874,4,0.31045000000000006,0.18763749999999998
PAPER_ace_T50_seed12_d5_B3,0.3329625,0.3253,5,0.31955,0.2039875
PAPER_ace_T50_seed12_d5_B3,0.3279375,0.3057,6,0.3095,0.18606250000000002
PAPER_ace_T50_seed12_d5_B3,0.3265375,0.3484,7,0.33755,0.2142375
PAPER_ace_T50_seed12_d5_B3,0.287675,0.1802,8,0.2353,0.186425
PAPER_ace_T50_seed12_d5_B3,0.2707375,0.1737,9,0.23705000000000004,0.1838625
PAPER_ace_T50_seed12_d5_B3,0.21387499999999998,0.1505,10,0.2459,0.16165000000000002
PAPER_ace_T50_seed12_d5_B3,0.23304999999999998,0.1779,11,0.27030000000000004,0.1628
PAPER_ace_T50_seed12_d5_B3,0.23038750000000002,0.1785,12,0.28565,0.1732125
PAPER_ace_T50_seed12_d5_B3,0.22739999999999996,0.2234,13,0.2853,0.185425
PAPER_ace_T50_seed12_d5_B3,0.21797500000000003,0.1141,14,0.19945000000000002,0.13895000000000002
PAPER_ace_T50_seed12_d5_B3,0.19573750000000004,0.1274,15,0.22945,0.1493875
PAPER_ace_T50_seed12_d5_B3,0.21511249999999998,0.2494,16,0.3029,0.1910875
PAPER_ace_T50_seed12_d5_B3,0.28077500000000005,0.2687,17,0.31460000000000005,0.19685
