name,tr_gap,tr_global_acc,tr_round,tr_seen_acc,tr_void_acc
GRID_ace_T50_seed11_d2_B1,0.3080999999999999,0.1483,0,0.3152,0.1182
GRID_ace_T50_seed11_d2_B1,0.3248,0.2103,1,0.3712,0.1392
GRID_ace_T50_seed11_d2_B1,0.3681125,0.2745,2,0.4206999999999999,0.1577625
GRID_ace_T50_seed11_d2_B1,0.3863,0.2975,3,0.44165,0.16565
GRID_ace_T50_seed11_d2_B1,0.37705,0.3318,4,0.4332,0.163075
GRID_ace_T50_seed11_d2_B1,0.2057375,0.1,5,0.1294999999999999,0.1110625
GRID_ace_T50_seed11_d2_B1,0.204475,0.1002,6,0.1682,0.1240749999999999
GRID_ace_T50_seed11_d2_B1,0.2932875,0.1007,7,0.3046,0.1524125
GRID_ace_T50_seed11_d2_B1,0.3583999999999999,0.1071,8,0.3725499999999999,0.1518
GRID_ace_T50_seed11_d2_B1,0.3452375,0.1463,9,0.27965,0.1555875
GRID_ace_T50_seed11_d2_B1,0.3168875,0.1639,10,0.2655,0.1593125
GRID_ace_T50_seed11_d2_B1,0.3731125,0.1825,11,0.3777,0.1745125
GRID_ace_T50_seed11_d2_B1,0.3359375,0.1552,12,0.3446,0.1472875
GRID_ace_T50_seed11_d2_B1,0.1782624999999999,0.1,13,0.1232,0.1083875
GRID_ace_T50_seed11_d2_B1,0.2202,0.1313,14,0.2959999999999999,0.169875
GRID_ace_T50_seed11_d2_B1,0.2939375,0.1679,15,0.4027999999999999,0.1788625
GRID_ace_T50_seed11_d2_B1,0.29965,0.195,16,0.4778,0.2109249999999999
GRID_ace_T50_seed11_d2_B1,0.3298124999999999,0.1351,17,0.36145,0.1752625
GRID_ace_T50_seed11_d2_B1,0.402775,0.2355,18,0.4685499999999999,0.19005
GRID_ace_T50_seed11_d2_B1,0.38295,0.2351,19,0.4125,0.1565
GRID_ace_T50_seed11_d2_B1,0.3975125,0.2842,20,0.4789999999999999,0.1854374999999999
GRID_ace_T50_seed11_d2_B1,0.355,0.2072,21,0.4609500000000001,0.191325
GRID_ace_T50_seed11_d2_B1,0.3622124999999999,0.2318,22,0.4653,0.1862375
GRID_ace_T50_seed11_d2_B1,0.3924625,0.2609,23,0.4993,0.2021125
GRID_ace_T50_seed11_d2_B1,0.3514625,0.2447,24,0.43005,0.1878625
GRID_ace_T50_seed11_d2_B1,0.2734,0.1195,25,0.27925,0.15475
GRID_ace_T50_seed11_d2_B1,0.400275,0.2252,26,0.40105,0.15555
GRID_ace_T50_seed11_d2_B1,0.4058125,0.2996,27,0.5184,0.2119625
GRID_ace_T50_seed11_d2_B1,0.4246749999999999,0.3261,28,0.5170999999999999,0.20335
GRID_ace_T50_seed11_d2_B1,0.4271125,0.3953,29,0.52515,0.2132124999999999
GRID_ace_T50_seed11_d2_B1,0.4282875,0.3611,30,0.5258,0.2066125
GRID_ace_T50_seed11_d2_B1,0.3895499999999999,0.2996,31,0.43745,0.19095
GRID_ace_T50_seed11_d2_B1,0.4136499999999999,0.3292,32,0.5411999999999999,0.2435749999999999
GRID_ace_T50_seed11_d2_B1,0.4529624999999999,0.3264,33,0.52675,0.2203125
GRID_ace_T50_seed11_d2_B1,0.3971375,0.3659,34,0.52945,0.2343874999999999
GRID_ace_T50_seed11_d2_B1,0.3572875000000001,0.2965,35,0.5259,0.2539625
GRID_ace_T50_seed11_d2_B1,0.4212000000000001,0.3301,36,0.51605,0.2243
GRID_ace_T50_seed11_d2_B1,0.4040625,0.2861,37,0.4942499999999999,0.2436875
GRID_ace_T50_seed11_d2_B1,0.4189999999999999,0.3002,38,0.5125500000000001,0.234675
GRID_ace_T50_seed11_d2_B1,0.4094125,0.3106,39,0.49,0.2413124999999999
GRID_ace_T50_seed11_d2_B1,0.4279125,0.341,40,0.5348499999999999,0.2655375
GRID_ace_T50_seed11_d2_B1,0.4329999999999999,0.378,41,0.52315,0.22515
GRID_ace_T50_seed11_d2_B1,0.4250624999999999,0.4056,42,0.5051,0.2046625
GRID_ace_T50_seed11_d2_B1,0.4555625,0.4316,43,0.5431,0.2257874999999999
GRID_ace_T50_seed11_d2_B1,0.4338125,0.4211,44,0.51255,0.2088625
GRID_ace_T50_seed11_d2_B1,0.4459749999999999,0.4734,45,0.5548000000000001,0.240925
GRID_ace_T50_seed11_d2_B1,0.4182375,0.4562,46,0.5048,0.2073624999999999
GRID_ace_T50_seed11_d2_B1,0.478125,0.5121,47,0.5814999999999999,0.254625
